"","state","fips","year","month","arr_flights","Delays","carrier_ct","weather_ct","nas_ct"
0,"AK","US02","2010.000","1686.600","36724.933","7184.600","2186.386","257.795","1868.877"
1,"AL","US01","2010.000","1558.267","35564.533","7385.533","2845.429","451.612","1691.225"
2,"AR","US05","2010.000","1138.600","28575.733","6360.733","2388.280","359.227","1475.503"
3,"AZ","US04","2010.000","1832.200","190991.400","31910.533","9905.307","775.939","9234.028"
4,"CA","US06","2010.000","9238.467","721675.733","143890.267","40618.423","3433.815","44550.867"
5,"CO","US08","2010.000","2508.333","230573.400","42226.800","12161.433","1439.413","13046.725"
6,"CT","US09","2010.000","781.933","24739.333","5152.000","1811.131","186.167","1281.109"
7,"DE","US10","2011.000","50.600","391.200","128.800","36.794","7.886","49.644"
8,"FL","US12","2010.000","7601.067","416222.667","85269.467","26791.725","2886.384","27593.091"
9,"GA","US13","2010.000","1872.267","389131.067","78367.733","17657.664","3102.256","34266.300"
10,"HI","US15","2010.000","2075.933","92473.400","10477.267","4611.850","180.037","2690.936"
11,"IA","US19","2010.000","1043.933","19573.467","4414.933","1630.293","254.354","1122.775"
12,"ID","US16","2010.000","852.867","21446.067","3611.733","1485.347","98.260","642.696"
13,"IL","US17","2010.000","2421.867","399980.200","87741.200","16802.717","2547.591","38165.562"
14,"IN","US18","2010.000","1673.933","45696.400","9306.800","3244.231","398.673","2451.409"
15,"KS","US20","2010.000","636.000","11372.867","2520.867","927.639","146.241","601.964"
16,"KY","US21","2010.000","1568.200","95440.933","16976.200","6100.824","1835.413","4949.985"
17,"LA","US22","2010.000","2102.533","63880.800","12716.067","4624.101","652.854","3157.775"
18,"MA","US25","2010.000","1034.533","110147.333","23872.467","5924.873","866.513","9726.919"
19,"MD","US24","2010.000","851.733","94673.067","16980.867","4425.603","658.004","4513.289"
20,"ME","US23","2010.000","635.133","8801.467","2123.933","791.705","144.379","537.343"
21,"MI","US26","2010.000","3001.867","157064.467","28887.800","8631.037","1150.341","9454.298"
22,"MN","US27","2010.000","1298.600","124231.267","22043.467","6152.611","852.212","8257.231"
23,"MO","US29","2010.000","2210.133","112054.333","21917.533","7353.846","800.763","5070.913"
24,"MS","US28","2010.000","895.933","16668.600","3467.400","1323.078","237.619","832.183"
25,"MT","US30","2010.000","1088.800","18185.067","2875.533","1350.936","113.290","660.809"
26,"NC","US37","2010.000","2987.133","180065.667","34319.933","10488.834","1307.985","11655.358"
27,"ND","US38","2010.000","780.733","10993.600","2086.533","802.946","82.533","551.007"
28,"NE","US31","2010.000","1001.667","23541.733","5121.000","1848.041","203.259","1219.429"
29,"NH","US33","2010.000","474.000","13520.800","2866.400","990.147","108.710","620.946"
30,"NJ","US34","2010.000","964.600","122769.000","35223.000","4758.288","1054.553","21313.256"
31,"NM","US35","2010.000","866.333","31482.733","6023.000","2115.773","167.780","1107.339"
32,"NV","US32","2010.000","1655.867","165421.267","31708.000","8751.621","781.913","8855.373"
33,"NY","US36","2010.000","5039.800","274004.933","66991.200","15836.381","2658.218","30541.821"
34,"OH","US39","2010.000","2739.067","106125.533","21733.267","6503.391","831.065","6086.376"
35,"OK","US40","2010.000","1424.400","39791.333","8801.800","3267.255","407.017","1846.355"
36,"OR","US41","2010.000","1178.400","63603.267","11674.200","3960.294","263.203","2639.993"
37,"PA","US42","2010.000","3045.133","136143.267","30038.867","7862.615","1247.854","12291.321"
38,"RI","US44","2010.000","616.667","18513.600","3755.067","1294.245","124.461","873.087"
39,"SC","US45","2010.000","1724.733","35766.400","7943.800","3043.976","483.226","2082.491"
40,"SD","US46","2010.000","652.533","9593.000","1923.933","772.299","91.176","454.845"
41,"TN","US47","2010.000","2325.600","113367.600","21558.933","7168.025","904.039","5878.433"
42,"TX","US48","2010.000","7253.133","677255.267","124937.600","31949.381","4940.360","38159.915"
43,"UT","US49","2010.000","970.733","120537.333","17511.800","5715.672","643.708","4645.917"
44,"VA","US51","2010.000","3825.000","190093.667","37303.933","11089.539","1465.207","12047.815"
45,"VT","US50","2010.000","373.600","5430.333","1317.333","480.825","63.531","358.249"
46,"WA","US53","2010.000","1589.067","115701.467","21813.133","6611.951","511.284","6838.866"
47,"WI","US55","2010.000","2069.067","53554.733","11094.733","3922.875","426.798","2968.683"
48,"WV","US54","2010.000","356.400","3975.533","840.200","334.683","59.060","190.836"
49,"WY","US56","2010.000","646.733","8617.600","1485.267","652.601","79.862","320.629"
