state,fips,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AK,US02,28013.0,43147.0,43009.0,41917.0,41760.0,40969.0,38277.0,38881.0,39371.0,38581.0,39199.0,35399.0,35981.0,36144.0,10226.0
AL,US01,21403.0,45641.0,43825.0,37470.0,45255.0,46058.0,44334.0,45434.0,39301.0,36584.0,35851.0,30830.0,28885.0,25104.0,7493.0
AR,US05,17637.0,34809.0,36926.0,31377.0,34983.0,33667.0,34958.0,36542.0,30707.0,31511.0,31896.0,27904.0,24905.0,16179.0,4635.0
AZ,US04,109198.0,189468.0,195329.0,245201.0,244719.0,231839.0,210873.0,209697.0,216890.0,209748.0,201509.0,181736.0,180046.0,179058.0,59560.0
CA,US06,469491.0,825765.0,827009.0,863678.0,893890.0,826932.0,736353.0,720471.0,730081.0,765749.0,755926.0,739170.0,707762.0,727407.0,235452.0
CO,US08,98093.0,177172.0,207394.0,271787.0,282445.0,280839.0,270777.0,271847.0,274450.0,265654.0,250555.0,247478.0,234674.0,248098.0,77338.0
CT,US09,19478.0,35215.0,38278.0,32886.0,32634.0,29445.0,23806.0,23999.0,22530.0,20972.0,22258.0,21780.0,20512.0,20322.0,6975.0
DE,US10,0.0,0.0,0.0,347.0,452.0,0.0,0.0,0.0,0.0,0.0,348.0,711.0,98.0,0.0,0.0
FL,US12,221273.0,433342.0,465098.0,454791.0,478803.0,467002.0,438978.0,450241.0,456213.0,446873.0,443169.0,428056.0,449248.0,447168.0,163085.0
GA,US13,228799.0,442312.0,453311.0,426332.0,436186.0,435791.0,438024.0,434204.0,411439.0,409664.0,416251.0,386052.0,394412.0,398518.0,125671.0
HI,US15,19164.0,66412.0,69714.0,119547.0,134339.0,110146.0,111168.0,105048.0,102003.0,111786.0,108142.0,96499.0,99132.0,100815.0,33186.0
IA,US19,9276.0,18817.0,19567.0,23716.0,31351.0,27801.0,25691.0,21107.0,18203.0,18705.0,25399.0,18798.0,18830.0,12246.0,4095.0
ID,US16,14854.0,25841.0,27982.0,27581.0,29356.0,27147.0,22569.0,22594.0,22544.0,18263.0,18352.0,18095.0,18541.0,21101.0,6871.0
IL,US17,274715.0,482000.0,447437.0,495992.0,495953.0,461291.0,420197.0,417510.0,416682.0,412784.0,414827.0,391833.0,418264.0,340426.0,109792.0
IN,US18,32181.0,59266.0,59326.0,48091.0,61126.0,60033.0,53035.0,51435.0,39124.0,39390.0,46886.0,40626.0,42808.0,39072.0,13047.0
KS,US20,5654.0,10283.0,11126.0,12863.0,14750.0,14046.0,13566.0,13588.0,11964.0,12516.0,13821.0,12419.0,11930.0,8917.0,3150.0
KY,US21,70705.0,241346.0,242783.0,155329.0,143450.0,124131.0,85453.0,77923.0,49989.0,49818.0,67428.0,41678.0,40283.0,31323.0,9975.0
LA,US22,47135.0,82259.0,69192.0,60692.0,69635.0,67171.0,61725.0,65325.0,61478.0,66809.0,75664.0,70992.0,71258.0,66642.0,22235.0
MA,US25,68079.0,132608.0,128220.0,131265.0,128707.0,118413.0,111082.0,113869.0,110052.0,103686.0,112074.0,111994.0,119561.0,122965.0,39635.0
MD,US24,58973.0,106060.0,106792.0,107576.0,109395.0,104068.0,101280.0,105563.0,104577.0,103343.0,100319.0,90845.0,94105.0,96211.0,30989.0
ME,US23,8277.0,16032.0,14809.0,11988.0,12475.0,9768.0,9133.0,8346.0,6331.0,6746.0,7809.0,5986.0,5553.0,6977.0,1792.0
MI,US26,100590.0,188509.0,175497.0,169241.0,221156.0,204130.0,189750.0,197946.0,110965.0,113433.0,199349.0,133267.0,149307.0,151805.0,51022.0
MN,US27,86691.0,150856.0,141022.0,130124.0,162633.0,135830.0,124978.0,132346.0,106758.0,114929.0,155117.0,113085.0,129996.0,135827.0,43277.0
MO,US29,91456.0,127036.0,130378.0,129622.0,141043.0,132177.0,118369.0,117567.0,115425.0,115068.0,117441.0,106622.0,102405.0,102388.0,33818.0
MS,US28,10887.0,19985.0,20812.0,20912.0,23220.0,22791.0,20680.0,20432.0,17379.0,15582.0,15369.0,13642.0,14292.0,10983.0,3063.0
MT,US30,11605.0,26394.0,26970.0,22345.0,22837.0,20279.0,17831.0,18280.0,17153.0,16768.0,17139.0,17236.0,16136.0,17121.0,4682.0
NC,US37,105889.0,198782.0,207161.0,198716.0,221072.0,211800.0,194562.0,200453.0,193934.0,203206.0,221079.0,169923.0,160888.0,161388.0,52132.0
ND,US38,4813.0,8427.0,8224.0,9173.0,10755.0,9180.0,8610.0,12475.0,11953.0,13098.0,19114.0,15250.0,18112.0,12739.0,2981.0
NE,US31,13122.0,23629.0,25104.0,26014.0,32324.0,30041.0,28409.0,27839.0,24073.0,22943.0,26231.0,22837.0,21869.0,21349.0,7342.0
NH,US33,11319.0,23875.0,24843.0,21267.0,21358.0,18582.0,14775.0,13882.0,11516.0,9199.0,9965.0,6753.0,6871.0,6715.0,1892.0
NJ,US34,89407.0,159233.0,156641.0,159068.0,155627.0,138604.0,119654.0,115031.0,112589.0,120559.0,121851.0,113820.0,118418.0,121749.0,39284.0
NM,US35,21686.0,37038.0,36953.0,37263.0,41400.0,42105.0,37067.0,35747.0,36715.0,33927.0,32062.0,28295.0,24287.0,21245.0,6451.0
NV,US32,103476.0,191373.0,197696.0,212971.0,212714.0,198724.0,175245.0,167346.0,169075.0,162204.0,156944.0,153365.0,160638.0,165517.0,54031.0
NY,US36,156917.0,325046.0,331603.0,330848.0,354313.0,331281.0,303826.0,300328.0,260649.0,261534.0,289544.0,264324.0,268222.0,251900.0,79739.0
OH,US39,86429.0,163208.0,157012.0,149026.0,144158.0,126197.0,111481.0,110491.0,96943.0,95597.0,96854.0,82027.0,81234.0,69059.0,22167.0
OK,US40,27041.0,46041.0,45000.0,45837.0,54443.0,50975.0,43102.0,42311.0,39646.0,42051.0,45231.0,40491.0,34528.0,30829.0,9344.0
OR,US41,39558.0,68417.0,69425.0,73997.0,75477.0,74209.0,67706.0,67944.0,67097.0,67038.0,67041.0,65458.0,60971.0,68263.0,21448.0
PA,US42,109719.0,207470.0,196065.0,173280.0,172790.0,159083.0,143092.0,140473.0,129733.0,119547.0,129267.0,109574.0,109091.0,107598.0,35367.0
RI,US44,16434.0,30441.0,31294.0,26634.0,25381.0,22500.0,18340.0,18991.0,17100.0,13902.0,15390.0,12152.0,12157.0,12688.0,4300.0
SC,US45,22815.0,51377.0,47779.0,42784.0,48299.0,43364.0,38520.0,35669.0,32833.0,33496.0,37703.0,29884.0,31117.0,32020.0,8836.0
SD,US46,4757.0,9495.0,8695.0,11131.0,11814.0,9990.0,9083.0,12233.0,10858.0,11904.0,12204.0,11436.0,10020.0,7978.0,2297.0
TN,US47,71388.0,131737.0,130722.0,124094.0,165825.0,159187.0,148059.0,155452.0,119652.0,108039.0,112181.0,85480.0,82635.0,79769.0,26294.0
TX,US48,469910.0,827379.0,797350.0,811370.0,792013.0,747740.0,701851.0,706506.0,683398.0,710707.0,745515.0,717767.0,688031.0,578440.0,180852.0
UT,US49,77046.0,142469.0,164776.0,146081.0,151435.0,143063.0,135258.0,127680.0,122076.0,112984.0,114999.0,112078.0,108975.0,111559.0,37581.0
VA,US51,136522.0,281637.0,281824.0,243327.0,232165.0,210687.0,190921.0,200500.0,189166.0,186267.0,190256.0,166312.0,151508.0,144985.0,45328.0
