,carrier,arr_del15
0,AQ,0.000356404853547
1,TZ,0.00197370230946
2,VX,0.00354218560831
3,HA,0.00377177430123
4,NK,0.00431901846528
5,HP,0.0053870028868
6,DH,0.00659248331316
7,F9,0.0126866484502
8,9E,0.0132624094757
9,RU,0.0144057119609
10,YV,0.0187988742661
11,AS,0.0208973238659
12,OH,0.0220388370578
13,XE,0.0261864747769
14,FL,0.0271920575956
15,CO,0.0300406683994
16,NW,0.0341100245379
17,B6,0.0358331139585
18,US,0.0557566149613
19,MQ,0.0707362986545
20,EV,0.0748474795232
21,UA,0.0752742259685
22,OO,0.0793237321347
23,DL,0.0912446189801
24,AA,0.104828262513
25,WN,0.166594051181
