index,carrier,year,month,name,value,groupid
7,AA,2003,6,BOS,17,6_AA
6664,EV,2003,11,BOS,6,11_EV
6865,MQ,2003,11,BOS,13,11_MQ
2383,US,2003,7,BOS,19,7_US
6968,NW,2003,11,BOS,13,11_NW
2308,UA,2003,7,BOS,17,7_UA
7305,UA,2003,11,BOS,12,11_UA
1970,NW,2003,7,BOS,18,7_NW
7378,US,2003,11,BOS,12,11_US
1870,MQ,2003,7,BOS,17,7_MQ
1683,EV,2003,7,BOS,16,7_EV
1579,DL,2003,7,BOS,10,7_DL
7497,AA,2003,12,BOS,24,12_AA
1255,AA,2003,7,BOS,18,7_AA
7818,DL,2003,12,BOS,21,12_DL
7926,EV,2003,12,BOS,29,12_EV
1133,US,2003,6,BOS,18,6_US
8125,MQ,2003,12,BOS,26,12_MQ
2504,AA,2003,8,BOS,24,8_AA
6558,DL,2003,11,BOS,9,11_DL
2827,DL,2003,8,BOS,14,8_DL
6244,AA,2003,11,BOS,14,11_AA
4804,UA,2003,9,BOS,15,9_UA
4998,AA,2003,10,BOS,12,10_AA
4463,NW,2003,9,BOS,14,9_NW
4363,MQ,2003,9,BOS,15,9_MQ
4178,EV,2003,9,BOS,20,9_EV
5315,DL,2003,10,BOS,10,10_DL
4074,DL,2003,9,BOS,9,9_DL
5420,EV,2003,10,BOS,16,10_EV
1058,UA,2003,6,BOS,17,6_UA
3751,AA,2003,9,BOS,13,9_AA
5709,NW,2003,10,BOS,12,10_NW
3631,US,2003,8,BOS,22,8_US
6051,UA,2003,10,BOS,13,10_UA
3556,UA,2003,8,BOS,20,8_UA
6125,US,2003,10,BOS,12,10_US
3223,NW,2003,8,BOS,23,8_NW
3123,MQ,2003,8,BOS,27,8_MQ
2932,EV,2003,8,BOS,16,8_EV
5606,MQ,2003,10,BOS,13,10_MQ
8231,NW,2003,12,BOS,29,12_NW
4879,US,2003,9,BOS,15,9_US
8572,UA,2003,12,BOS,20,12_UA
8649,US,2003,12,BOS,19,12_US
434,EV,2003,6,BOS,10,6_EV
331,DL,2003,6,BOS,10,6_DL
623,MQ,2003,6,BOS,17,6_MQ
722,NW,2003,6,BOS,20,6_NW
7831,DL,2003,12,DCA,20,12_DL
449,EV,2003,6,DCA,42,6_EV
4378,MQ,2003,9,DCA,15,9_MQ
732,NW,2003,6,DCA,22,6_NW
1263,AA,2003,7,DCA,22,7_AA
6880,MQ,2003,11,DCA,17,11_MQ
3759,AA,2003,9,DCA,12,9_AA
7316,UA,2003,11,DCA,19,11_UA
6062,UA,2003,10,DCA,10,10_UA
344,DL,2003,6,DCA,14,6_DL
4193,EV,2003,9,DCA,25,9_EV
7386,US,2003,11,DCA,9,11_US
1885,MQ,2003,7,DCA,16,7_MQ
7505,AA,2003,12,DCA,22,12_AA
3567,UA,2003,8,DCA,26,8_UA
1592,DL,2003,7,DCA,16,7_DL
8657,US,2003,12,DCA,12,12_US
6978,NW,2003,11,DCA,17,11_NW
4087,DL,2003,9,DCA,12,9_DL
5435,EV,2003,10,DCA,21,10_EV
8583,UA,2003,12,DCA,20,12_UA
2319,UA,2003,7,DCA,26,7_UA
5328,DL,2003,10,DCA,14,10_DL
2391,US,2003,7,DCA,15,7_US
6252,AA,2003,11,DCA,17,11_AA
4473,NW,2003,9,DCA,15,9_NW
2947,EV,2003,8,DCA,52,8_EV
5719,NW,2003,10,DCA,14,10_NW
8241,NW,2003,12,DCA,23,12_NW
2840,DL,2003,8,DCA,18,8_DL
4815,UA,2003,9,DCA,15,9_UA
15,AA,2003,6,DCA,15,6_AA
3138,MQ,2003,8,DCA,25,8_MQ
1069,UA,2003,6,DCA,17,6_UA
4886,US,2003,9,DCA,10,9_US
3233,NW,2003,8,DCA,25,8_NW
8140,MQ,2003,12,DCA,19,12_MQ
6679,EV,2003,11,DCA,13,11_EV
1698,EV,2003,7,DCA,54,7_EV
6571,DL,2003,11,DCA,14,11_DL
1980,NW,2003,7,DCA,19,7_NW
638,MQ,2003,6,DCA,18,6_MQ
5006,AA,2003,10,DCA,10,10_AA
1141,US,2003,6,DCA,13,6_US
2512,AA,2003,8,DCA,25,8_AA
5621,MQ,2003,10,DCA,12,10_MQ
6133,US,2003,10,DCA,7,10_US
7940,EV,2003,12,DCA,20,12_EV
3638,US,2003,8,DCA,20,8_US
3639,US,2003,8,DEN,25,8_US
5828,OO,2003,10,DEN,8,10_OO
2088,OO,2003,7,DEN,9,7_OO
7085,OO,2003,11,DEN,21,11_OO
2633,B6,2003,8,DEN,29,8_B6
6979,NW,2003,11,DEN,40,11_NW
2841,DL,2003,8,DEN,17,8_DL
6370,B6,2003,11,DEN,16,11_B6
3234,NW,2003,8,DEN,17,8_NW
6572,DL,2003,11,DEN,23,11_DL
6134,US,2003,10,DEN,14,10_US
2513,AA,2003,8,DEN,21,8_AA
2320,UA,2003,7,DEN,11,7_UA
8584,UA,2003,12,DEN,14,12_UA
6680,EV,2003,11,DEN,13,11_EV
3338,OO,2003,8,DEN,9,8_OO
6063,UA,2003,10,DEN,8,10_UA
2392,US,2003,7,DEN,30,7_US
450,EV,2003,6,DEN,28,6_EV
3568,UA,2003,8,DEN,9,8_UA
345,DL,2003,6,DEN,21,6_DL
7317,UA,2003,11,DEN,12,11_UA
6253,AA,2003,11,DEN,18,11_AA
5720,NW,2003,10,DEN,16,10_NW
5007,AA,2003,10,DEN,9,10_AA
7941,EV,2003,12,DEN,9,12_EV
4474,NW,2003,9,DEN,13,9_NW
4580,OO,2003,9,DEN,6,9_OO
7832,DL,2003,12,DEN,23,12_DL
4887,US,2003,9,DEN,17,9_US
733,NW,2003,6,DEN,21,6_NW
1264,AA,2003,7,DEN,21,7_AA
7627,B6,2003,12,DEN,22,12_B6
5124,B6,2003,10,DEN,9,10_B6
5329,DL,2003,10,DEN,15,10_DL
7506,AA,2003,12,DEN,20,12_AA
1142,US,2003,6,DEN,31,6_US
1070,UA,2003,6,DEN,11,6_UA
1593,DL,2003,7,DEN,20,7_DL
1384,B6,2003,7,DEN,19,7_B6
7387,US,2003,11,DEN,21,11_US
8658,US,2003,12,DEN,18,12_US
1981,NW,2003,7,DEN,19,7_NW
840,OO,2003,6,DEN,10,6_OO
136,B6,2003,6,DEN,20,6_B6
4088,DL,2003,9,DEN,14,9_DL
3760,AA,2003,9,DEN,9,9_AA
16,AA,2003,6,DEN,20,6_AA
