index,carrier,year,month,name,value,groupid
25474,AA,2005,1,BOS,32,1_AA
41186,B6,2005,12,BOS,23,12_B6
30284,MQ,2005,4,BOS,17,4_MQ
30390,NW,2005,4,BOS,28,4_NW
30876,UA,2005,4,BOS,22,4_UA
30958,US,2005,4,BOS,16,4_US
41060,AA,2005,12,BOS,24,12_AA
31081,AA,2005,5,BOS,20,5_AA
31199,B6,2005,5,BOS,9,5_B6
31359,DL,2005,5,BOS,19,5_DL
31726,MQ,2005,5,BOS,20,5_MQ
31829,NW,2005,5,BOS,28,5_NW
40939,US,2005,11,BOS,17,11_US
32307,UA,2005,5,BOS,23,5_UA
32384,US,2005,5,BOS,18,5_US
32509,AA,2005,6,BOS,30,6_AA
29952,DL,2005,4,BOS,15,4_DL
40865,UA,2005,11,BOS,22,11_UA
29793,B6,2005,4,BOS,13,4_B6
29670,AA,2005,4,BOS,14,4_AA
42300,UA,2005,12,BOS,26,12_UA
27161,DL,2005,2,BOS,18,2_DL
27487,MQ,2005,2,BOS,23,2_MQ
27593,NW,2005,2,BOS,34,2_NW
28070,UA,2005,2,BOS,20,2_UA
28151,US,2005,2,BOS,22,2_US
28274,AA,2005,3,BOS,24,3_AA
41828,NW,2005,12,BOS,33,12_NW
28397,B6,2005,3,BOS,31,3_B6
28552,DL,2005,3,BOS,25,3_DL
41715,MQ,2005,12,BOS,23,12_MQ
28882,MQ,2005,3,BOS,24,3_MQ
28988,NW,2005,3,BOS,31,3_NW
29466,UA,2005,3,BOS,21,3_UA
29547,US,2005,3,BOS,28,3_US
41335,DL,2005,12,BOS,21,12_DL
32630,B6,2005,6,BOS,14,6_B6
32793,DL,2005,6,BOS,20,6_DL
33163,MQ,2005,6,BOS,21,6_MQ
36597,UA,2005,8,BOS,25,8_UA
36675,US,2005,8,BOS,23,8_US
36799,AA,2005,9,BOS,27,9_AA
36921,B6,2005,9,BOS,12,9_B6
37077,DL,2005,9,BOS,21,9_DL
39533,US,2005,10,BOS,23,10_US
37452,MQ,2005,9,BOS,25,9_MQ
37559,NW,2005,9,BOS,48,9_NW
38029,UA,2005,9,BOS,24,9_UA
39457,UA,2005,10,BOS,30,10_UA
38106,US,2005,9,BOS,21,9_US
38228,AA,2005,10,BOS,28,10_AA
38350,B6,2005,10,BOS,16,10_B6
38506,DL,2005,10,BOS,20,10_DL
38877,MQ,2005,10,BOS,31,10_MQ
39653,AA,2005,11,BOS,21,11_AA
36133,NW,2005,8,BOS,50,8_NW
36026,MQ,2005,8,BOS,29,8_MQ
35650,DL,2005,8,BOS,26,8_DL
33270,NW,2005,6,BOS,40,6_NW
33752,UA,2005,6,BOS,32,6_UA
40405,NW,2005,11,BOS,40,11_NW
33830,US,2005,6,BOS,22,6_US
33954,AA,2005,7,BOS,34,7_AA
40297,MQ,2005,11,BOS,24,11_MQ
34075,B6,2005,7,BOS,20,7_B6
27011,B6,2005,2,BOS,18,2_B6
34232,DL,2005,7,BOS,27,7_DL
34709,NW,2005,7,BOS,43,7_NW
35170,UA,2005,7,BOS,33,7_UA
35248,US,2005,7,BOS,28,7_US
39923,DL,2005,11,BOS,20,11_DL
35372,AA,2005,8,BOS,32,8_AA
39775,B6,2005,11,BOS,21,11_B6
35494,B6,2005,8,BOS,16,8_B6
34603,MQ,2005,7,BOS,26,7_MQ
26888,AA,2005,2,BOS,20,2_AA
38986,NW,2005,10,BOS,47,10_NW
42380,US,2005,12,BOS,17,12_US
26090,MQ,2005,1,BOS,30,1_MQ
26767,US,2005,1,BOS,24,1_US
26686,UA,2005,1,BOS,27,1_UA
26196,NW,2005,1,BOS,36,1_NW
25597,B6,2005,1,BOS,23,1_B6
25752,DL,2005,1,BOS,24,1_DL
30080,EV,2005,4,DCA,7,4_EV
28281,AA,2005,3,DCA,18,3_AA
41839,NW,2005,12,DCA,35,12_NW
34720,NW,2005,7,DCA,37,7_NW
30299,MQ,2005,4,DCA,21,4_MQ
34619,MQ,2005,7,DCA,27,7_MQ
37091,DL,2005,9,DCA,12,9_DL
30401,NW,2005,4,DCA,20,4_NW
34356,EV,2005,7,DCA,20,7_EV
25883,EV,2005,1,DCA,17,1_EV
39541,US,2005,10,DCA,11,10_US
28159,US,2005,2,DCA,23,2_US
26775,US,2005,1,DCA,20,1_US
29477,UA,2005,3,DCA,17,3_UA
34247,DL,2005,7,DCA,24,7_DL
37468,MQ,2005,9,DCA,17,9_MQ
30887,UA,2005,4,DCA,12,4_UA
37571,NW,2005,9,DCA,21,9_NW
28081,UA,2005,2,DCA,14,2_UA
33961,AA,2005,7,DCA,32,7_AA
40047,EV,2005,11,DCA,11,11_EV
35181,UA,2005,7,DCA,29,7_UA
32808,DL,2005,6,DCA,14,6_DL
40314,MQ,2005,11,DCA,20,11_MQ
36042,MQ,2005,8,DCA,22,8_MQ
35776,EV,2005,8,DCA,21,8_EV
35665,DL,2005,8,DCA,16,8_DL
29555,US,2005,3,DCA,26,3_US
36145,NW,2005,8,DCA,35,8_NW
32392,US,2005,5,DCA,12,5_US
28998,NW,2005,3,DCA,26,3_NW
39661,AA,2005,11,DCA,17,11_AA
35379,AA,2005,8,DCA,22,8_AA
28897,MQ,2005,3,DCA,23,3_MQ
25767,DL,2005,1,DCA,12,1_DL
