index,carrier,year,month,name,value,groupid
80225,AA,2008,1,BOS,29,1_AA
89891,AA,2008,7,BOS,32,7_AA
81846,AA,2008,2,BOS,32,2_AA
94186,US,2008,9,BOS,15,9_US
89393,US,2008,6,BOS,21,6_US
89308,UA,2008,6,BOS,39,6_UA
94678,AA,2008,10,BOS,16,10_AA
83460,AA,2008,3,BOS,30,3_AA
94793,B6,2008,10,BOS,10,10_B6
94900,DL,2008,10,BOS,13,10_DL
88970,NW,2008,6,BOS,38,6_NW
94102,UA,2008,9,BOS,21,9_UA
95213,MQ,2008,10,BOS,12,10_MQ
81351,US,2008,1,BOS,12,1_US
95323,NW,2008,10,BOS,13,10_NW
88508,DL,2008,6,BOS,26,6_DL
83579,B6,2008,3,BOS,25,3_B6
88391,B6,2008,6,BOS,32,6_B6
82542,NW,2008,2,BOS,47,2_NW
88272,AA,2008,6,BOS,38,6_AA
95696,US,2008,10,BOS,8,10_US
83699,DL,2008,3,BOS,19,3_DL
81266,UA,2008,1,BOS,31,1_UA
88854,MQ,2008,6,BOS,36,6_MQ
87767,US,2008,5,BOS,12,5_US
90011,B6,2008,7,BOS,31,7_B6
93780,NW,2008,9,BOS,17,9_NW
92079,MQ,2008,8,BOS,30,8_MQ
91737,DL,2008,8,BOS,24,8_DL
92193,NW,2008,8,BOS,31,8_NW
85066,AA,2008,4,BOS,24,4_AA
91622,B6,2008,8,BOS,29,8_B6
91501,AA,2008,8,BOS,31,8_AA
82430,MQ,2008,2,BOS,27,2_MQ
92520,UA,2008,8,BOS,30,8_UA
91003,US,2008,7,BOS,18,7_US
82197,EV,2008,2,BOS,12,2_EV
90127,DL,2008,7,BOS,24,7_DL
92605,US,2008,8,BOS,19,8_US
82875,UA,2008,2,BOS,31,2_UA
93098,AA,2008,9,BOS,21,9_AA
90587,NW,2008,7,BOS,29,7_NW
93217,B6,2008,9,BOS,18,9_B6
82095,DL,2008,2,BOS,18,2_DL
90473,MQ,2008,7,BOS,31,7_MQ
93330,DL,2008,9,BOS,14,9_DL
82961,US,2008,2,BOS,19,2_US
