index,carrier,year,month,name,value,groupid
99074,9E,2009,1,BOS,16,1_9E
106703,B6,2009,6,BOS,34,6_B6
106656,AS,2009,6,BOS,7,6_AS
106581,AA,2009,6,BOS,40,6_AA
106468,9E,2009,6,BOS,36,6_9E
106351,YV,2009,5,BOS,13,5_YV
106257,XE,2009,5,BOS,23,5_XE
106111,US,2009,5,BOS,18,5_US
106751,CO,2009,6,BOS,35,6_CO
106036,UA,2009,5,BOS,16,5_UA
105755,NW,2009,5,BOS,18,5_NW
105646,MQ,2009,5,BOS,22,5_MQ
105567,FL,2009,5,BOS,25,5_FL
105341,DL,2009,5,BOS,17,5_DL
105281,CO,2009,5,BOS,16,5_CO
105235,B6,2009,5,BOS,17,5_B6
105191,AS,2009,5,BOS,10,5_AS
105832,OH,2009,5,BOS,24,5_OH
105120,AA,2009,5,BOS,20,5_AA
106811,DL,2009,6,BOS,31,6_DL
107132,MQ,2009,6,BOS,39,6_MQ
109025,UA,2009,7,BOS,26,7_UA
108817,OH,2009,7,BOS,34,7_OH
108738,NW,2009,7,BOS,37,7_NW
108625,MQ,2009,7,BOS,26,7_MQ
108545,FL,2009,7,BOS,38,7_FL
108307,DL,2009,7,BOS,24,7_DL
108242,CO,2009,7,BOS,27,7_CO
107051,FL,2009,6,BOS,40,6_FL
108193,B6,2009,7,BOS,27,7_B6
107964,9E,2009,7,BOS,21,7_9E
107852,YV,2009,6,BOS,33,6_YV
107755,XE,2009,6,BOS,34,6_XE
107612,US,2009,6,BOS,28,6_US
107538,UA,2009,6,BOS,31,6_UA
107332,OH,2009,6,BOS,46,6_OH
107247,NW,2009,6,BOS,42,6_NW
108147,AS,2009,7,BOS,19,7_AS
109098,US,2009,7,BOS,22,7_US
105015,9E,2009,5,BOS,17,5_9E
104806,XE,2009,4,BOS,2,4_XE
102403,DL,2009,3,BOS,18,3_DL
102341,CO,2009,3,BOS,25,3_CO
102295,B6,2009,3,BOS,17,3_B6
102252,AS,2009,3,BOS,14,3_AS
102176,AA,2009,3,BOS,23,3_AA
102068,9E,2009,3,BOS,14,3_9E
101951,YV,2009,2,BOS,22,2_YV
102635,FL,2009,3,BOS,21,3_FL
101858,XE,2009,2,BOS,10,2_XE
101632,UA,2009,2,BOS,13,2_UA
101424,OH,2009,2,BOS,16,2_OH
101339,NW,2009,2,BOS,22,2_NW
101233,MQ,2009,2,BOS,19,2_MQ
101156,FL,2009,2,BOS,18,2_FL
100923,DL,2009,2,BOS,12,2_DL
100861,CO,2009,2,BOS,20,2_CO
101713,US,2009,2,BOS,12,2_US
104900,YV,2009,4,BOS,14,4_YV
102712,MQ,2009,3,BOS,23,3_MQ
102901,OH,2009,3,BOS,17,3_OH
104662,US,2009,4,BOS,16,4_US
104586,UA,2009,4,BOS,16,4_UA
104374,OH,2009,4,BOS,23,4_OH
104292,NW,2009,4,BOS,25,4_NW
104180,MQ,2009,4,BOS,24,4_MQ
104103,FL,2009,4,BOS,21,4_FL
103880,DL,2009,4,BOS,16,4_DL
