index,carrier,year,month,name,value,groupid
134335,AA,2011,1,BOS,22,1_AA
140910,B6,2011,6,BOS,27,6_B6
141027,DL,2011,6,BOS,23,6_DL
136217,MQ,2011,2,BOS,19,2_MQ
141151,EV,2011,6,BOS,28,6_EV
141402,MQ,2011,6,BOS,27,6_MQ
135976,EV,2011,2,BOS,8,2_EV
141678,UA,2011,6,BOS,31,6_UA
141748,US,2011,6,BOS,28,6_US
141822,WN,2011,6,BOS,25,6_WN
142092,AA,2011,7,BOS,33,7_AA
142222,B6,2011,7,BOS,24,7_B6
135864,DL,2011,2,BOS,13,2_DL
148982,EV,2011,12,BOS,9,12_EV
142336,DL,2011,7,BOS,17,7_DL
142459,EV,2011,7,BOS,27,7_EV
135746,B6,2011,2,BOS,27,2_B6
142714,MQ,2011,7,BOS,20,7_MQ
142991,UA,2011,7,BOS,30,7_UA
143063,US,2011,7,BOS,21,7_US
143136,WN,2011,7,BOS,20,7_WN
143405,AA,2011,8,BOS,34,8_AA
135622,AA,2011,2,BOS,20,2_AA
143535,B6,2011,8,BOS,31,8_B6
143648,DL,2011,8,BOS,17,8_DL
143772,EV,2011,8,BOS,23,8_EV
135355,WN,2011,1,BOS,25,1_WN
144023,MQ,2011,8,BOS,25,8_MQ
140780,AA,2011,6,BOS,34,6_AA
148858,DL,2011,12,BOS,7,12_DL
140508,WN,2011,5,BOS,36,5_WN
140431,US,2011,5,BOS,35,5_US
137271,EV,2011,3,BOS,23,3_EV
137511,MQ,2011,3,BOS,16,3_MQ
137038,B6,2011,3,BOS,28,3_B6
137641,OO,2011,3,BOS,50,3_OO
137781,UA,2011,3,BOS,16,3_UA
137856,US,2011,3,BOS,18,3_US
137933,WN,2011,3,BOS,16,3_WN
138207,AA,2011,4,BOS,31,4_AA
136914,AA,2011,3,BOS,26,3_AA
149567,US,2011,12,BOS,7,12_US
138334,B6,2011,4,BOS,31,4_B6
149496,UA,2011,12,BOS,12,12_UA
138449,DL,2011,4,BOS,23,4_DL
136643,WN,2011,2,BOS,14,2_WN
138568,EV,2011,4,BOS,29,4_EV
138808,MQ,2011,4,BOS,33,4_MQ
139082,UA,2011,4,BOS,22,4_UA
139156,US,2011,4,BOS,24,4_US
136564,US,2011,2,BOS,12,2_US
139232,WN,2011,4,BOS,24,4_WN
139499,AA,2011,5,BOS,41,5_AA
139624,B6,2011,5,BOS,35,5_B6
139738,DL,2011,5,BOS,31,5_DL
136490,UA,2011,2,BOS,12,2_UA
139852,EV,2011,5,BOS,35,5_EV
140097,MQ,2011,5,BOS,32,5_MQ
140362,UA,2011,5,BOS,38,5_UA
136349,OO,2011,2,BOS,80,2_OO
144298,UA,2011,8,BOS,27,8_UA
137155,DL,2011,3,BOS,19,3_DL
135202,UA,2011,1,BOS,14,1_UA
146251,DL,2011,10,BOS,16,10_DL
148741,B6,2011,12,BOS,12,12_B6
145080,EV,2011,9,BOS,19,9_EV
146958,US,2011,10,BOS,16,10_US
147668,EV,2011,11,BOS,10,11_EV
134935,MQ,2011,1,BOS,22,1_MQ
145327,MQ,2011,9,BOS,26,9_MQ
134459,B6,2011,1,BOS,28,1_B6
147544,DL,2011,11,BOS,10,11_DL
145601,UA,2011,9,BOS,28,9_UA
147430,B6,2011,11,BOS,13,11_B6
147035,WN,2011,10,BOS,18,10_WN
145671,US,2011,9,BOS,21,9_US
146140,B6,2011,10,BOS,22,10_B6
147306,AA,2011,11,BOS,20,11_AA
145746,WN,2011,9,BOS,20,9_WN
148614,AA,2011,12,BOS,19,12_AA
146016,AA,2011,10,BOS,22,10_AA
134576,DL,2011,1,BOS,18,1_DL
146888,UA,2011,10,BOS,24,10_UA
