index,carrier,year,month,name,value,groupid
173333,UA,2013,7,BOS,29,7_UA
175525,EV,2013,9,BOS,9,9_EV
166814,WN,2013,2,BOS,19,2_WN
166729,US,2013,2,BOS,14,2_US
178660,OO,2013,11,BOS,8,11_OO
170654,UA,2013,5,BOS,26,5_UA
175318,DL,2013,9,BOS,11,9_DL
166638,UA,2013,2,BOS,18,2_UA
178686,UA,2013,11,BOS,12,11_UA
170727,US,2013,5,BOS,18,5_US
170806,WN,2013,5,BOS,28,5_WN
175266,B6,2013,9,BOS,15,9_B6
178776,US,2013,11,BOS,10,11_US
175131,AA,2013,9,BOS,21,9_AA
171086,AA,2013,6,BOS,31,6_AA
174902,WN,2013,8,BOS,33,8_WN
171221,B6,2013,6,BOS,27,6_B6
178890,WN,2013,11,BOS,15,11_WN
166113,EV,2013,2,BOS,12,2_EV
165947,DL,2013,2,BOS,14,2_DL
171314,DL,2013,6,BOS,25,6_DL
179145,AA,2013,12,BOS,20,12_AA
174753,US,2013,8,BOS,17,8_US
165879,B6,2013,2,BOS,23,2_B6
179280,B6,2013,12,BOS,28,12_B6
171517,EV,2013,6,BOS,16,6_EV
174689,UA,2013,8,BOS,19,8_UA
165749,AA,2013,2,BOS,16,2_AA
174596,OO,2013,8,BOS,33,8_OO
165541,WN,2013,1,BOS,15,1_WN
170151,EV,2013,5,BOS,12,5_EV
179349,DL,2013,12,BOS,21,12_DL
178196,EV,2013,11,BOS,9,11_EV
169971,DL,2013,5,BOS,16,5_DL
176895,EV,2013,10,BOS,10,10_EV
168417,AA,2013,4,BOS,20,4_AA
177321,OO,2013,10,BOS,14,10_OO
177346,UA,2013,10,BOS,14,10_UA
168618,DL,2013,4,BOS,13,4_DL
176704,DL,2013,10,BOS,8,10_DL
168759,EV,2013,4,BOS,9,4_EV
168143,WN,2013,3,BOS,22,3_WN
168084,US,2013,3,BOS,20,3_US
176618,B6,2013,10,BOS,10,10_B6
177447,US,2013,10,BOS,10,10_US
169306,UA,2013,4,BOS,22,4_UA
167979,UA,2013,3,BOS,21,3_UA
177522,WN,2013,10,BOS,15,10_WN
176480,AA,2013,10,BOS,14,10_AA
169386,US,2013,4,BOS,16,4_US
177792,AA,2013,11,BOS,11,11_AA
176205,WN,2013,9,BOS,24,9_WN
167470,EV,2013,3,BOS,17,3_EV
177928,B6,2013,11,BOS,11,11_B6
169518,WN,2013,4,BOS,19,4_WN
176104,US,2013,9,BOS,11,9_US
169759,AA,2013,5,BOS,26,5_AA
169909,B6,2013,5,BOS,18,5_B6
167266,DL,2013,3,BOS,19,3_DL
178001,DL,2013,11,BOS,8,11_DL
176024,UA,2013,9,BOS,16,9_UA
167228,B6,2013,3,BOS,27,3_B6
175943,OO,2013,9,BOS,12,9_OO
167077,AA,2013,3,BOS,19,3_AA
171999,UA,2013,6,BOS,32,6_UA
168546,B6,2013,4,BOS,22,4_B6
165336,UA,2013,1,BOS,12,1_UA
164747,EV,2013,1,BOS,12,1_EV
180080,UA,2013,12,BOS,25,12_UA
173553,WN,2013,7,BOS,34,7_WN
180133,US,2013,12,BOS,18,12_US
173401,US,2013,7,BOS,26,7_US
172439,AA,2013,7,BOS,30,7_AA
173772,AA,2013,8,BOS,23,8_AA
179531,EV,2013,12,BOS,25,12_EV
172573,B6,2013,7,BOS,31,7_B6
172643,DL,2013,7,BOS,24,7_DL
164427,AA,2013,1,BOS,14,1_AA
180242,WN,2013,12,BOS,34,12_WN
174195,EV,2013,8,BOS,14,8_EV
173982,DL,2013,8,BOS,15,8_DL
172218,WN,2013,6,BOS,35,6_WN
180021,OO,2013,12,BOS,25,12_OO
173911,B6,2013,8,BOS,25,8_B6
165411,US,2013,1,BOS,12,1_US
164607,DL,2013,1,BOS,8,1_DL
172801,EV,2013,7,BOS,17,7_EV
172091,US,2013,6,BOS,24,6_US
164579,B6,2013,1,BOS,17,1_B6
176037,UA,2013,9,DCA,14,9_UA
167285,DL,2013,3,DCA,13,3_DL
164616,DL,2013,1,DCA,13,1_DL
169917,B6,2013,5,DCA,16,5_B6
180075,UA,2013,12,DCA,18,12_UA
165417,US,2013,1,DCA,14,1_US
167236,B6,2013,3,DCA,26,3_B6
178012,DL,2013,11,DCA,11,11_DL
169956,DL,2013,5,DCA,16,5_DL
169758,AA,2013,5,DCA,25,5_AA
164751,EV,2013,1,DCA,33,1_EV
170089,EV,2013,5,DCA,33,5_EV
167079,AA,2013,3,DCA,17,3_AA
172637,DL,2013,7,DCA,27,7_DL
173782,AA,2013,8,DCA,17,8_AA
175842,MQ,2013,9,DCA,17,9_MQ
178217,EV,2013,11,DCA,21,11_EV
170444,MQ,2013,5,DCA,30,5_MQ
178484,MQ,2013,11,DCA,16,11_MQ
165104,MQ,2013,1,DCA,25,1_MQ
176006,OO,2013,9,DCA,9,9_OO
177938,B6,2013,11,DCA,13,11_B6
169499,WN,2013,4,DCA,15,4_WN
167444,EV,2013,3,DCA,39,3_EV
168554,B6,2013,4,DCA,24,4_B6
168423,AA,2013,4,DCA,23,4_AA
173330,UA,2013,7,DCA,25,7_UA
180254,WN,2013,12,DCA,20,12_WN
176856,EV,2013,10,DCA,23,10_EV
164425,AA,2013,1,DCA,18,1_AA
177345,UA,2013,10,DCA,9,10_UA
168617,DL,2013,4,DCA,14,4_DL
173400,US,2013,7,DCA,24,7_US
168154,WN,2013,3,DCA,15,3_WN
176695,DL,2013,10,DCA,7,10_DL
168801,EV,2013,4,DCA,34,4_EV
168064,US,2013,3,DCA,16,3_US
169110,MQ,2013,4,DCA,31,4_MQ
173531,WN,2013,7,DCA,34,7_WN
176628,B6,2013,10,DCA,12,10_B6
180162,US,2013,12,DCA,15,12_US
173145,MQ,2013,7,DCA,31,7_MQ
164586,B6,2013,1,DCA,22,1_B6
167971,UA,2013,3,DCA,14,3_UA
177535,WN,2013,10,DCA,6,10_WN
169326,UA,2013,4,DCA,23,4_UA
176477,AA,2013,10,DCA,11,10_AA
169384,US,2013,4,DCA,19,4_US
176217,WN,2013,9,DCA,18,9_WN
167791,MQ,2013,3,DCA,25,3_MQ
176134,US,2013,9,DCA,12,9_US
177807,AA,2013,11,DCA,10,11_AA
175491,EV,2013,9,DCA,18,9_EV
172819,EV,2013,7,DCA,39,7_EV
177431,US,2013,10,DCA,9,10_US
178577,OO,2013,11,DCA,0,11_OO
166875,WN,2013,2,DCA,11,2_WN
178770,US,2013,11,DCA,9,11_US
175138,AA,2013,9,DCA,17,9_AA
172449,AA,2013,7,DCA,30,7_AA
170883,WN,2013,5,DCA,21,5_WN
179303,B6,2013,12,DCA,30,12_B6
166439,MQ,2013,2,DCA,27,2_MQ
171093,AA,2013,6,DCA,29,6_AA
165282,OO,2013,1,DCA,4,1_OO
171239,B6,2013,6,DCA,29,6_B6
166126,EV,2013,2,DCA,32,2_EV
174160,EV,2013,8,DCA,23,8_EV
173983,DL,2013,8,DCA,12,8_DL
178902,WN,2013,11,DCA,12,11_WN
179565,EV,2013,12,DCA,30,12_EV
174877,WN,2013,8,DCA,12,8_WN
174787,US,2013,8,DCA,15,8_US
165886,B6,2013,2,DCA,26,2_B6
165946,DL,2013,2,DCA,13,2_DL
171453,EV,2013,6,DCA,37,6_EV
165312,UA,2013,1,DCA,14,1_UA
171319,DL,2013,6,DCA,25,6_DL
174750,OO,2013,8,DCA,0,8_OO
179825,MQ,2013,12,DCA,27,12_MQ
172187,WN,2013,6,DCA,23,6_WN
177162,MQ,2013,10,DCA,21,10_MQ
171805,MQ,2013,6,DCA,31,6_MQ
165753,AA,2013,2,DCA,16,2_AA
179148,AA,2013,12,DCA,19,12_AA
165500,WN,2013,1,DCA,6,1_WN
166647,UA,2013,2,DCA,13,2_UA
170708,US,2013,5,DCA,18,5_US
179921,OO,2013,12,DCA,50,12_OO
175282,B6,2013,9,DCA,15,9_B6
178688,UA,2013,11,DCA,10,11_UA
166721,US,2013,2,DCA,16,2_US
172576,B6,2013,7,DCA,31,7_B6
179390,DL,2013,12,DCA,19,12_DL
174479,MQ,2013,8,DCA,18,8_MQ
166609,OO,2013,2,DCA,18,2_OO
172069,US,2013,6,DCA,26,6_US
174671,UA,2013,8,DCA,16,8_UA
170626,UA,2013,5,DCA,20,5_UA
172031,UA,2013,6,DCA,30,6_UA
173926,B6,2013,8,DCA,24,8_B6
175356,DL,2013,9,DCA,8,9_DL
171336,DL,2013,6,DEN,26,6_DL
177142,MQ,2013,10,DEN,33,10_MQ
176622,B6,2013,10,DEN,13,10_B6
168555,B6,2013,4,DEN,34,4_B6
169159,OO,2013,4,DEN,19,4_OO
171442,EV,2013,6,DEN,26,6_EV
174679,UA,2013,8,DEN,18,8_UA
169105,MQ,2013,4,DEN,41,4_MQ
171998,UA,2013,6,DEN,24,6_UA
176806,EV,2013,10,DEN,21,10_EV
174481,MQ,2013,8,DEN,33,8_MQ
168827,EV,2013,4,DEN,27,4_EV
171792,MQ,2013,6,DEN,53,6_MQ
174551,OO,2013,8,DEN,18,8_OO
173329,UA,2013,7,DEN,20,7_UA
173133,MQ,2013,7,DEN,43,7_MQ
173197,OO,2013,7,DEN,21,7_OO
171842,OO,2013,6,DEN,22,6_OO
174126,EV,2013,8,DEN,20,8_EV
176677,DL,2013,10,DEN,11,10_DL
175380,DL,2013,9,DEN,12,9_DL
169319,UA,2013,4,DEN,20,4_UA
170744,US,2013,5,DEN,22,5_US
175886,OO,2013,9,DEN,18,9_OO
175271,B6,2013,9,DEN,17,9_B6
169977,DL,2013,5,DEN,11,5_DL
173912,B6,2013,8,DEN,52,8_B6
175849,MQ,2013,9,DEN,31,9_MQ
172642,DL,2013,7,DEN,28,7_DL
170110,EV,2013,5,DEN,20,5_EV
172068,US,2013,6,DEN,33,6_US
170442,MQ,2013,5,DEN,43,5_MQ
173798,AA,2013,8,DEN,22,8_AA
172609,B6,2013,7,DEN,68,7_B6
175505,EV,2013,9,DEN,19,9_EV
170485,OO,2013,5,DEN,16,5_OO
172460,AA,2013,7,DEN,30,7_AA
175167,AA,2013,9,DEN,20,9_AA
169918,B6,2013,5,DEN,11,5_B6
170862,WN,2013,5,DEN,20,5_WN
173422,US,2013,7,DEN,33,7_US
173494,WN,2013,7,DEN,23,7_WN
174759,US,2013,8,DEN,25,8_US
176218,WN,2013,9,DEN,23,9_WN
169418,US,2013,4,DEN,25,4_US
172829,EV,2013,7,DEN,23,7_EV
172188,WN,2013,6,DEN,24,6_WN
170623,UA,2013,5,DEN,15,5_UA
169500,WN,2013,4,DEN,24,4_WN
174878,WN,2013,8,DEN,25,8_WN
173984,DL,2013,8,DEN,16,8_DL
176123,US,2013,9,DEN,12,9_US
171102,AA,2013,6,DEN,34,6_AA
169774,AA,2013,5,DEN,25,5_AA
176025,UA,2013,9,DEN,14,9_UA
176495,AA,2013,10,DEN,21,10_AA
171270,B6,2013,6,DEN,45,6_B6
168622,DL,2013,4,DEN,21,4_DL
177213,OO,2013,10,DEN,16,10_OO
178190,EV,2013,11,DEN,17,11_EV
179898,OO,2013,12,DEN,30,12_OO
167111,AA,2013,3,DEN,21,3_AA
165887,B6,2013,2,DEN,27,2_B6
167237,B6,2013,3,DEN,23,3_B6
165174,OO,2013,1,DEN,21,1_OO
177998,DL,2013,11,DEN,15,11_DL
166876,WN,2013,2,DEN,12,2_WN
177962,B6,2013,11,DEN,23,11_B6
165121,MQ,2013,1,DEN,24,1_MQ
180042,UA,2013,12,DEN,24,12_UA
167431,EV,2013,3,DEN,28,3_EV
177818,AA,2013,11,DEN,17,11_AA
167790,MQ,2013,3,DEN,25,3_MQ
164821,EV,2013,1,DEN,29,1_EV
167852,OO,2013,3,DEN,19,3_OO
167331,DL,2013,3,DEN,20,3_DL
177536,WN,2013,10,DEN,20,10_WN
165311,UA,2013,1,DEN,17,1_UA
179770,MQ,2013,12,DEN,45,12_MQ
179170,AA,2013,12,DEN,27,12_AA
179327,B6,2013,12,DEN,65,12_B6
178903,WN,2013,11,DEN,18,11_WN
165973,DL,2013,2,DEN,16,2_DL
166132,EV,2013,2,DEN,31,2_EV
179357,DL,2013,12,DEN,25,12_DL
165501,WN,2013,1,DEN,15,1_WN
178440,MQ,2013,11,DEN,16,11_MQ
166449,MQ,2013,2,DEN,30,2_MQ
166498,OO,2013,2,DEN,20,2_OO
166625,UA,2013,2,DEN,16,2_UA
178681,UA,2013,11,DEN,12,11_UA
165406,US,2013,1,DEN,20,1_US
179486,EV,2013,12,DEN,38,12_EV
178578,OO,2013,11,DEN,12,11_OO
166743,US,2013,2,DEN,14,2_US
178774,US,2013,11,DEN,14,11_US
167961,UA,2013,3,DEN,16,3_UA
165786,AA,2013,2,DEN,23,2_AA
168155,WN,2013,3,DEN,20,3_WN
177436,US,2013,10,DEN,12,10_US
177351,UA,2013,10,DEN,14,10_UA
168430,AA,2013,4,DEN,29,4_AA
164463,AA,2013,1,DEN,20,1_AA
168059,US,2013,3,DEN,20,3_US
180255,WN,2013,12,DEN,42,12_WN
164587,B6,2013,1,DEN,34,1_B6
180148,US,2013,12,DEN,20,12_US
164604,DL,2013,1,DEN,12,1_DL
170343,MQ,2013,5,DFW,23,5_MQ
164426,AA,2013,1,DFW,18,1_AA
171264,B6,2013,6,DFW,43,6_B6
175452,EV,2013,9,DFW,10,9_EV
170535,OO,2013,5,DFW,26,5_OO
179755,MQ,2013,12,DFW,21,12_MQ
174097,EV,2013,8,DFW,19,8_EV
167083,AA,2013,3,DFW,13,3_AA
165748,AA,2013,2,DFW,17,2_AA
168729,EV,2013,4,DFW,30,4_EV
178559,OO,2013,11,DFW,22,11_OO
165974,DL,2013,2,DFW,17,2_DL
177388,UA,2013,10,DFW,13,10_UA
178397,MQ,2013,11,DFW,12,11_MQ
175735,MQ,2013,9,DFW,11,9_MQ
165309,UA,2013,1,DFW,21,1_UA
173420,US,2013,7,DFW,25,7_US
168556,B6,2013,4,DFW,47,4_B6
166728,US,2013,2,DFW,19,2_US
170646,UA,2013,5,DFW,17,5_UA
175347,DL,2013,9,DFW,5,9_DL
168411,AA,2013,4,DFW,21,4_AA
171082,AA,2013,6,DFW,25,6_AA
173347,UA,2013,7,DFW,25,7_UA
178777,US,2013,11,DFW,11,11_US
179400,DL,2013,12,DFW,15,12_DL
165424,US,2013,1,DFW,28,1_US
172014,UA,2013,6,DFW,27,6_UA
174542,OO,2013,8,DFW,25,8_OO
168612,DL,2013,4,DFW,16,4_DL
166505,OO,2013,2,DFW,24,2_OO
179471,EV,2013,12,DFW,29,12_EV
177217,OO,2013,10,DFW,20,10_OO
174383,MQ,2013,8,DFW,20,8_MQ
178699,UA,2013,11,DFW,19,11_UA
173236,OO,2013,7,DFW,31,7_OO
170722,US,2013,5,DFW,19,5_US
171861,OO,2013,6,DFW,28,6_OO
175290,B6,2013,9,DFW,10,9_B6
172082,US,2013,6,DFW,29,6_US
176791,EV,2013,10,DFW,19,10_EV
177059,MQ,2013,10,DFW,15,10_MQ
166668,UA,2013,2,DFW,19,2_UA
168068,US,2013,3,DFW,18,3_US
166058,EV,2013,2,DFW,28,2_EV
170067,EV,2013,5,DFW,22,5_EV
173979,DL,2013,8,DFW,10,8_DL
178111,EV,2013,11,DFW,19,11_EV
171334,DL,2013,6,DFW,23,6_DL
165012,MQ,2013,1,DFW,17,1_MQ
167686,MQ,2013,3,DFW,15,3_MQ
172618,B6,2013,7,DFW,37,7_B6
168014,UA,2013,3,DFW,14,3_UA
173038,MQ,2013,7,DFW,29,7_MQ
171414,EV,2013,6,DFW,31,6_EV
173777,AA,2013,8,DFW,13,8_AA
177797,AA,2013,11,DFW,13,11_AA
180074,UA,2013,12,DFW,33,12_UA
177419,US,2013,10,DFW,16,10_US
164734,EV,2013,1,DFW,32,1_EV
176470,AA,2013,10,DFW,15,10_AA
164684,DL,2013,1,DFW,13,1_DL
172661,DL,2013,7,DFW,22,7_DL
165888,B6,2013,2,DFW,38,2_B6
172762,EV,2013,7,DFW,29,7_EV
174695,UA,2013,8,DFW,18,8_UA
169330,UA,2013,4,DFW,26,4_UA
180130,US,2013,12,DFW,25,12_US
167871,OO,2013,3,DFW,24,3_OO
169212,OO,2013,4,DFW,21,4_OO
169396,US,2013,4,DFW,25,4_US
175124,AA,2013,9,DFW,11,9_AA
176653,B6,2013,10,DFW,25,10_B6
169748,AA,2013,5,DFW,18,5_AA
169975,DL,2013,5,DFW,14,5_DL
178016,DL,2013,11,DFW,10,11_DL
172433,AA,2013,7,DFW,19,7_AA
169020,MQ,2013,4,DFW,25,4_MQ
175913,OO,2013,9,DFW,21,9_OO
173934,B6,2013,8,DFW,36,8_B6
165180,OO,2013,1,DFW,30,1_OO
167238,B6,2013,3,DFW,37,3_B6
169919,B6,2013,5,DFW,22,5_B6
164588,B6,2013,1,DFW,38,1_B6
167402,EV,2013,3,DFW,18,3_EV
179308,B6,2013,12,DFW,56,12_B6
179938,OO,2013,12,DFW,35,12_OO
176032,UA,2013,9,DFW,10,9_UA
176676,DL,2013,10,DFW,6,10_DL
179142,AA,2013,12,DFW,19,12_AA
177941,B6,2013,11,DFW,20,11_B6
167329,DL,2013,3,DFW,11,3_DL
171695,MQ,2013,6,DFW,26,6_MQ
176102,US,2013,9,DFW,8,9_US
174755,US,2013,8,DFW,18,8_US
166342,MQ,2013,2,DFW,18,2_MQ
171847,OO,2013,6,DTW,21,6_OO
174549,OO,2013,8,DTW,16,8_OO
179340,DL,2013,12,DTW,16,12_DL
171797,MQ,2013,6,DTW,37,6_MQ
165784,AA,2013,2,DTW,12,2_AA
172811,EV,2013,7,DTW,23,7_EV
173367,UA,2013,7,DTW,12,7_UA
173496,WN,2013,7,DTW,32,7_WN
180119,UA,2013,12,DTW,15,12_UA
164814,EV,2013,1,DTW,16,1_EV
172633,DL,2013,7,DTW,20,7_DL
173808,AA,2013,8,DTW,22,8_AA
180143,US,2013,12,DTW,19,12_US
173103,MQ,2013,7,DTW,38,7_MQ
165136,MQ,2013,1,DTW,24,1_MQ
172483,AA,2013,7,DTW,31,7_AA
179927,OO,2013,12,DTW,23,12_OO
173433,US,2013,7,DTW,22,7_US
165503,WN,2013,1,DTW,14,1_WN
165257,OO,2013,1,DTW,22,1_OO
172190,WN,2013,6,DTW,37,6_WN
164605,DL,2013,1,DTW,11,1_DL
164462,AA,2013,1,DTW,12,1_AA
174127,EV,2013,8,DTW,17,8_EV
172098,US,2013,6,DTW,25,6_US
165350,UA,2013,1,DTW,25,1_UA
179522,EV,2013,12,DTW,24,12_EV
173232,OO,2013,7,DTW,26,7_OO
165412,US,2013,1,DTW,16,1_US
172037,UA,2013,6,DTW,37,6_UA
174462,MQ,2013,8,DTW,22,8_MQ
179830,MQ,2013,12,DTW,32,12_MQ
173967,DL,2013,8,DTW,11,8_DL
175174,AA,2013,9,DTW,16,9_AA
174746,UA,2013,8,DTW,7,8_UA
169433,US,2013,4,DTW,19,4_US
169502,WN,2013,4,DTW,25,4_WN
167450,EV,2013,3,DTW,17,3_EV
176119,US,2013,9,DTW,10,9_US
176090,UA,2013,9,DTW,8,9_UA
169779,AA,2013,5,DTW,25,5_AA
167279,DL,2013,3,DTW,11,3_DL
169942,DL,2013,5,DTW,13,5_DL
171467,EV,2013,6,DTW,24,6_EV
167110,AA,2013,3,DTW,17,3_AA
175878,OO,2013,9,DTW,12,9_OO
178147,EV,2013,11,DTW,13,11_EV
170112,EV,2013,5,DTW,16,5_EV
166878,WN,2013,2,DTW,20,2_WN
175811,MQ,2013,9,DTW,16,9_MQ
177798,AA,2013,11,DTW,14,11_AA
167802,MQ,2013,3,DTW,19,3_MQ
176220,WN,2013,9,DTW,23,9_WN
167842,OO,2013,3,DTW,21,3_OO
177215,OO,2013,10,DTW,9,10_OO
177123,MQ,2013,10,DTW,16,10_MQ
168604,DL,2013,4,DTW,13,4_DL
176811,EV,2013,10,DTW,13,10_EV
168157,WN,2013,3,DTW,26,3_WN
