index,carrier,year,month,name,value,groupid
213921,WN,2016,6,BOS,27,6_WN
215811,OO,2016,8,BOS,0,8_OO
215834,UA,2016,8,BOS,21,8_UA
210284,EV,2016,3,BOS,11,3_EV
210146,DL,2016,3,BOS,16,3_DL
215944,WN,2016,8,BOS,22,8_WN
216028,AA,2016,9,BOS,22,9_AA
216185,B6,2016,9,BOS,25,9_B6
216262,DL,2016,9,BOS,21,9_DL
210057,B6,2016,3,BOS,18,3_B6
216414,EV,2016,9,BOS,25,9_EV
209908,AA,2016,3,BOS,17,3_AA
216857,UA,2016,9,BOS,23,9_UA
209847,WN,2016,2,BOS,17,2_WN
215473,EV,2016,8,BOS,25,8_EV
216965,WN,2016,9,BOS,24,9_WN
209719,UA,2016,2,BOS,16,2_UA
209698,OO,2016,2,BOS,50,2_OO
217201,B6,2016,10,BOS,21,10_B6
217286,DL,2016,10,BOS,16,10_DL
209351,EV,2016,2,BOS,15,2_EV
217516,EV,2016,10,BOS,18,10_EV
209169,DL,2016,2,BOS,20,2_DL
217880,UA,2016,10,BOS,18,10_UA
218004,WN,2016,10,BOS,16,10_WN
218063,OO,2016,10,BOS,100,10_OO
218076,AA,2016,11,BOS,18,11_AA
209068,B6,2016,2,BOS,26,2_B6
208941,AA,2016,2,BOS,19,2_AA
217043,AA,2016,10,BOS,17,10_AA
218235,B6,2016,11,BOS,17,11_B6
210670,OO,2016,3,BOS,13,3_OO
215232,DL,2016,8,BOS,21,8_DL
212376,EV,2016,5,BOS,15,5_EV
212710,OO,2016,5,BOS,100,5_OO
212743,UA,2016,5,BOS,18,5_UA
212079,B6,2016,5,BOS,16,5_B6
212881,WN,2016,5,BOS,20,5_WN
212933,AA,2016,6,BOS,24,6_AA
211932,AA,2016,5,BOS,17,5_AA
213095,B6,2016,6,BOS,22,6_B6
211842,WN,2016,4,BOS,19,4_WN
213203,DL,2016,6,BOS,19,6_DL
211731,UA,2016,4,BOS,15,4_UA
213418,EV,2016,6,BOS,17,6_EV
211703,OO,2016,4,BOS,0,4_OO
210716,UA,2016,3,BOS,15,3_UA
213775,UA,2016,6,BOS,21,6_UA
211343,EV,2016,4,BOS,11,4_EV
214121,B6,2016,7,BOS,28,7_B6
214213,DL,2016,7,BOS,23,7_DL
211121,DL,2016,4,BOS,17,4_DL
214378,EV,2016,7,BOS,24,7_EV
211060,B6,2016,4,BOS,20,4_B6
214784,OO,2016,7,BOS,0,7_OO
214799,UA,2016,7,BOS,25,7_UA
210911,AA,2016,4,BOS,17,4_AA
214921,WN,2016,7,BOS,31,7_WN
210848,WN,2016,3,BOS,14,3_WN
214983,AA,2016,8,BOS,24,8_AA
215147,B6,2016,8,BOS,23,8_B6
213962,AA,2016,7,BOS,27,7_AA
218332,DL,2016,11,BOS,15,11_DL
212201,DL,2016,5,BOS,14,5_DL
208713,UA,2016,1,BOS,14,1_UA
207917,AA,2016,1,BOS,15,1_AA
219948,UA,2016,12,BOS,17,12_UA
219508,EV,2016,12,BOS,15,12_EV
208363,EV,2016,1,BOS,8,1_EV
219904,OO,2016,12,BOS,46,12_OO
219253,B6,2016,12,BOS,21,12_B6
208901,WN,2016,1,BOS,15,1_WN
218521,EV,2016,11,BOS,15,11_EV
208123,DL,2016,1,BOS,14,1_DL
218899,UA,2016,11,BOS,16,11_UA
208683,OO,2016,1,BOS,50,1_OO
220059,WN,2016,12,BOS,19,12_WN
219363,DL,2016,12,BOS,18,12_DL
208059,B6,2016,1,BOS,21,1_B6
219103,AA,2016,12,BOS,15,12_AA
219012,WN,2016,11,BOS,20,11_WN
215968,WN,2016,8,DCA,20,8_WN
211356,EV,2016,4,DCA,10,4_EV
216707,OO,2016,9,DCA,16,9_OO
216038,AA,2016,9,DCA,18,9_AA
214907,WN,2016,7,DCA,26,7_WN
219894,OO,2016,12,DCA,23,12_OO
219043,WN,2016,11,DCA,15,11_WN
216195,B6,2016,9,DCA,18,9_B6
213883,WN,2016,6,DCA,23,6_WN
213709,OO,2016,6,DCA,18,6_OO
