index,carrier,year,month,name,value,groupid
220123,AA,2017,1,BOS,16,1_AA
221866,B6,2017,2,BOS,23,2_B6
223421,DL,2017,4,BOS,24,4_DL
223187,AA,2017,4,BOS,20,4_AA
223568,EV,2017,4,BOS,22,4_EV
221710,AA,2017,2,BOS,13,2_AA
220504,EV,2017,1,BOS,27,1_EV
222804,OO,2017,3,BOS,0,3_OO
221598,UA,2017,2,BOS,17,2_UA
224146,WN,2017,4,BOS,24,4_WN
220778,OO,2017,1,BOS,0,1_OO
223346,B6,2017,4,BOS,25,4_B6
221419,OO,2017,2,BOS,0,2_OO
221157,EV,2017,2,BOS,13,2_EV
221059,WN,2017,1,BOS,16,1_WN
220951,UA,2017,1,BOS,20,1_UA
221941,DL,2017,2,BOS,12,2_DL
220353,DL,2017,1,BOS,19,1_DL
224030,UA,2017,4,BOS,23,4_UA
223837,OO,2017,4,BOS,0,4_OO
222988,UA,2017,3,BOS,18,3_UA
223101,WN,2017,3,BOS,22,3_WN
222547,EV,2017,3,BOS,18,3_EV
222081,WN,2017,2,BOS,10,2_WN
222395,DL,2017,3,BOS,18,3_DL
222320,B6,2017,3,BOS,24,3_B6
222166,AA,2017,3,BOS,21,3_AA
220278,B6,2017,1,BOS,21,1_B6
223113,WN,2017,3,DCA,17,3_WN
221445,OO,2017,2,DCA,7,2_OO
222416,DL,2017,3,DCA,11,3_DL
224158,WN,2017,4,DCA,19,4_WN
221071,WN,2017,1,DCA,18,1_WN
222570,EV,2017,3,DCA,27,3_EV
221181,EV,2017,2,DCA,22,2_EV
223356,B6,2017,4,DCA,18,4_B6
222999,UA,2017,3,DCA,13,3_UA
221961,DL,2017,2,DCA,5,2_DL
221609,UA,2017,2,DCA,13,2_UA
222175,AA,2017,3,DCA,19,3_AA
221721,AA,2017,2,DCA,12,2_AA
222093,WN,2017,2,DCA,9,2_WN
223197,AA,2017,4,DCA,19,4_AA
224041,UA,2017,4,DCA,15,4_UA
221876,B6,2017,2,DCA,17,2_B6
222330,B6,2017,3,DCA,17,3_B6
223442,DL,2017,4,DCA,17,4_DL
222830,OO,2017,3,DCA,16,3_OO
220133,AA,2017,1,DCA,16,1_AA
220961,UA,2017,1,DCA,18,1_UA
220373,DL,2017,1,DCA,20,1_DL
220530,EV,2017,1,DCA,31,1_EV
223592,EV,2017,4,DCA,31,4_EV
220288,B6,2017,1,DCA,19,1_B6
