"AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_STATE_CODE","AIRPORT_STATE_FIPS",
10001,"01A","Afognak Lake Airport","Afognak Lake, AK","AK","02",
10003,"03A","Bear Creek Mining Strip","Granite Mountain, AK","AK","02",
10004,"04A","Lik Mining Camp","Lik, AK","AK","02",
10005,"05A","Little Squaw Airport","Little Squaw, AK","AK","02",
10006,"06A","Kizhuyak Bay","Kizhuyak, AK","AK","02",
10007,"07A","Klawock Seaplane Base","Klawock, AK","AK","02",
10008,"08A","Elizabeth Island Airport","Elizabeth Island, AK","AK","02",
10009,"09A","Augustin Island","Homer, AK","AK","02",
10010,"1B1","Columbia County","Hudson, NY","NY","36",
10010,"1B1","Columbia County","Hudson, NY","NY","36",
10011,"1G4","Grand Canyon West","Peach Springs, AZ","AZ","04",
10011,"1G4","Grand Canyon West","Peach Springs, AZ","AZ","04",
10012,"1N7","Blairstown Airport","Blairstown, NJ","NJ","34",
10013,"8F3","Crosbyton Municipal","Crosbyton, TX","TX","48",
10014,"A01","Blair Lake","Fairbanks/Ft. Wainwright, AK","AK","02",
10014,"A01","Blair Lake","Fairbanks/Ft. Wainwright, AK","AK","02",
10015,"A02","Deadmans Bay Airport","Deadmans Bay, AK","AK","02",
10016,"A03","Hallo Bay Airport","Hallo Bay, AK","AK","02",
10017,"A04","Red Lake Airport","Red Lake, AK","AK","02",
10018,"A05","Shell Lake Airport","Shell Lake, AK","AK","02",
10019,"A06","Navigator Airstrip","Kougarok, AK","AK","02",
10020,"A07","Roland Norton Memorial Airstrip","Selawik, AK","AK","02",
10020,"A07","Roland Norton Memorial","Selawik, AK","AK","02",
10021,"A08","Pillar Bay Airport","Pillar Bay, AK","AK","02",
10022,"JOH","Johnstone Point Airport","Johnstone Point, AK","AK","02",
10022,"A09","Johnstone Point Airport","Johnstone Point, AK","AK","02",
10022,"A09","Johnstone Point Airport","Johnstone Point, AK","AK","02",
10023,"TLK","Tikchik Lodge Airport","Tikchik Lodge, AK","AK","02",
10023,"KTH","Tikchik Lodge Airport","Tikchik Lodge, AK","AK","02",
10024,"A11","Bell Creek Airport","Bell Creek, AK","AK","02",
10025,"A12","Cinnabar Airport","Cinnabar, AK","AK","02",
10026,"A13","Mountaintop Mine Airport","Mountaintop Mine, AK","AK","02",
10027,"A14","Whitebear Airport","Whitebear, AK","AK","02",
10028,"A15","Puviaq Airport","Puviaq, AK","AK","02",
10028,"A15","Puviaq Airport","Puviaq, AK","AK","02",
10029,"A16","Arley Lake Airport","Arley Lake, AK","AK","02",
10030,"A17","Port Vita Airport","Port Vita, AK","AK","02",
10031,"A18","Kantishna Airport","Kantishna, AK","AK","02",
10031,"A18","Kantishna Airport","Kantishna, AK","AK","02",
